dscName,cmpLongName,dscCurrentActivityStatus,dscHcType,wlbName,nmaName,fldName,dscDateFromInclInField,dscDiscoveryYear,dscResInclInDiscoveryName,dscOwnerKind,dscOwnerName,dscNpdidDiscovery,fldNpdidField,wlbNpdidWellbore,dscFactPageUrl,dscFactMapUrl
35/11-5,Statoil Petroleum AS,Production is unlikely,OIL/GAS,35/11-5,North sea,,,1991,,PRODUCTION LICENSE,090,20460562,,1780,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=20460562,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=20460562
35/12-2 (Grosbeak),Wintershall Norge AS,Production not evaluated,OIL/GAS,35/12-2,North sea,,,2009,,PRODUCTION LICENSE,378,5818175,,6095,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=5818175,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=5818175
35/2-1 (Peon),Statoil Petroleum AS,"Production likely, but unclarified",GAS,35/2-1,North sea,,,2005,,PRODUCTION LICENSE,318,3465397,,5135,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3465397,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=3465397
35/3-2 AGAT,Wellesley Petroleum AS,Production is unlikely,GAS,35/3-2,North sea,,,1980,,PRODUCTION LICENSE,884,44768,,136,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44768,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44768
35/8-1 VEGA,Wintershall Norge AS,Producing,GAS/CONDENSATE,35/8-1,North sea,VEGA,14.06.2007,1981,,BUSINESS ARRANGEMENT AREA,VEGA UNIT,44774,4467595,205,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44774,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4467595
35/8-3 (Aurora),Statoil Petroleum AS,Production is unlikely,GAS,35/8-3,North sea,,,1988,,PRODUCTION LICENSE,195,1333027,,1288,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=1333027,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=1333027
35/8-6 A,Wintershall Norge AS,Production not evaluated,GAS/CONDENSATE,35/8-6 A,North sea,,,2016,,PRODUCTION LICENSE,248,28183437,,7941,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28183437,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28183437
35/9-1 GJØA,ENGIE E&P Norge AS,Producing,OIL/GAS,35/9-1,North sea,GJØA,14.06.2007,1989,,PRODUCTION LICENSE,153,44786,4467574,1375,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44786,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=4467574
35/9-3,ENGIE E&P Norge AS,Production is unlikely,OIL/GAS,35/9-3,North sea,,,1997,,PRODUCTION LICENSE,153,45651,,3206,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45651,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=45651
35/9-6 S,,Production is unlikely,OIL/GAS,35/9-6 S,North sea,,,2010,,,,18449542,,6429,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=18449542,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=18449542
35/9-7 (Skarfjell),Wintershall Norge AS,Production in clarification phase,OIL,35/9-7,North sea,,,2012,,PRODUCTION LICENSE,418,21667341,,6776,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=21667341,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=21667341
36/7-2,,Production is unlikely,OIL,36/7-2,North sea,,,1997,,,,44798,,2990,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44798,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44798
36/7-4 (Cara),ENGIE E&P Norge AS,Production not evaluated,OIL/GAS,36/7-4,North sea,,,2016,,PRODUCTION LICENSE,636,28543124,,7988,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=28543124,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=28543124
5604/22 LULITA-1,,Production is unlikely,,?,,,,1991,,,,48247,,0,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=48247,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=48247
6/3-1 PI,A/S Norske Shell,Producing,OIL/GAS,6/3-1,North sea,GAUPE,25.06.2010,1985,,PRODUCTION LICENSE,292,44804,18161341,450,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44804,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=18161341
6201/11-1,,Production is unlikely,OIL,6201/11-1,Norwegian sea,,,1987,,,,44810,,1134,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44810,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44810
6201/11-3 R (Albert),,Production is unlikely,OIL,6201/11-3 R,Norwegian sea,,,2012,,,,22492626,,7110,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=22492626,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=22492626
6204/10-2,Statoil Petroleum AS,Production is unlikely,GAS,6204/10-2 R,Norwegian sea,,,1997,,PRODUCTION LICENSE,829,45664,,3258,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=45664,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=45664
6204/11-1,Statoil Petroleum AS,Production is unlikely,GAS,6204/11-1,Norwegian sea,,,1994,,PRODUCTION LICENSE,829,44816,,2205,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44816,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44816
6302/6-1 (Tulipan),,Production is unlikely,GAS,6302/6-1,Norwegian sea,,,2005,,,,3505670,,5086,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=3505670,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=3505670
6305/5-1 ORMEN LANGE,A/S Norske Shell,Producing,GAS,6305/5-1,Norwegian sea,ORMEN LANGE,02.04.2004,1997,,BUSINESS ARRANGEMENT AREA,ORMEN LANGE UNIT,44822,2762452,3144,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44822,http://gis.npd.no/factmaps/html_21/?run=FieldByNPDID&NPDID=2762452
6306/5-1,,Production is unlikely,GAS,6306/5-1,Norwegian sea,,,1997,,,,44828,,3060,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=44828,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=44828
6405/10-1 (Midnattsol),A/S Norske Shell,Production is unlikely,GAS,6405/10-1,Norwegian sea,,,2007,,PRODUCTION LICENSE,832,4527324,,5565,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=4527324,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=4527324
6405/7-1 (Ellida),Tullow Oil Norge AS,Production is unlikely,OIL,6405/7-1,Norwegian sea,,,2003,,PRODUCTION LICENSE,750,2472532,,4749,http://factpages.npd.no/FactPages/default.aspx?nav1=discovery&nav2=PageView|All&nav3=2472532,http://gis.npd.no/factmaps/html_21/?run=DiscoveryByNPDID&NPDID=2472532
