date,mboed,mma
2015-03,2.20,1.90
2015-04,1.64,1.88
2015-05,1.77,1.90
2015-06,1.74,1.91
2015-07,1.96,1.94
2015-08,1.96,1.98
2015-09,1.95,2.00
2015-10,2.19,2.01
2015-11,2.22,2.02
2015-12,2.26,2.02
2016-01,2.27,2.03
2016-02,2.29,2.04
2016-03,2.27,2.04
2016-04,2.19,2.09
2016-05,1.94,2.10
2016-06,1.72,2.10
2016-07,1.82,2.09
2016-08,1.63,2.06
2016-09,1.33,2.01
2016-10,2.18,2.01
2016-11,2.25,2.01
2016-12,2.17,2.00
2017-01,2.33,2.01
